"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"MAN2A2",435,387,336,874,925,1048,725,718,1176,717
"MAN2B1",558,534,397,1365,1581,2745,2067,1557,3377,2200
"MAN2B2",245,174,210,615,736,1238,1430,997,1377,1115
"MAN2C1",131,173,203,737,573,822,832,1023,726,623
"MANBA",160,152,161,775,530,938,1034,796,1168,790
"MANBAL",181,165,141,522,636,1065,826,1135,922,826
"MANEA",84,106,135,424,374,447,507,273,524,451
"MANEA-AS1",1,7,8,30,13,12,32,21,24,7
"MANEAL",67,60,50,103,213,209,225,155,135,290
"MANF",500,341,323,1053,992,966,1338,1509,1397,1360
"MANSC1",183,198,220,509,743,843,844,443,680,1456
"MANSC4",1,0,0,3,0,4,1,2,0,1
"MAOA",433,452,556,1461,1205,469,1221,2722,927,987
"MAOB",67,73,84,509,1207,1662,1538,740,517,740
"MAP10",29,44,38,130,135,183,76,171,127,180
"MAP1A",18,20,20,385,537,1366,844,799,1155,656
"MAP1B",55,68,45,883,1436,2428,1407,1596,3963,1363
"MAP1LC3A",28,42,43,203,305,304,276,319,387,230
"MAP1LC3B",166,194,161,853,1061,1794,1920,1586,2777,2586
"MAP1LC3B2",0,1,2,1,7,14,17,6,14,24
"MAP1LC3C",1,2,0,6,22,20,17,17,39,16
"MAP1S",49,55,40,299,305,587,483,575,554,657
"MAP2",68,91,101,480,791,586,261,218,170,261
"MAP2K1",204,206,193,721,810,1550,1446,1729,1669,1495
"MAP2K2",442,413,372,687,840,1299,962,1179,1292,780
"MAP2K3",131,76,77,293,504,871,539,622,848,812
"MAP2K4",133,175,132,554,491,734,624,454,781,497
"MAP2K4P1",0,2,0,6,4,7,3,1,6,5
"MAP2K5",80,76,91,193,224,257,212,314,324,191
"MAP2K6",87,110,86,162,331,119,65,212,125,344
"MAP2K7",122,156,104,317,368,455,424,353,522,299
"MAP3K1",188,235,222,1210,1006,1261,799,593,1021,1122
"MAP3K10",36,33,31,107,163,263,163,221,309,186
"MAP3K11",178,212,210,629,983,1087,808,1110,1237,1413
"MAP3K12",65,51,53,337,402,440,281,329,500,294
"MAP3K13",181,267,249,644,680,805,760,764,642,1303
"MAP3K14",60,55,42,326,349,340,154,371,379,250
"MAP3K14-AS1",5,1,9,35,39,50,15,75,50,52
"MAP3K15",59,64,54,156,173,131,129,125,150,119
"MAP3K19",0,0,0,0,0,0,0,0,1,0
"MAP3K2",167,249,236,1220,1178,2380,2332,1542,2286,2167
"MAP3K3",104,136,112,614,705,1015,664,516,1284,719
"MAP3K4",105,145,134,539,412,683,517,399,703,383
"MAP3K5",527,440,368,746,915,1286,825,686,1275,1255
"MAP3K6",30,34,27,294,399,514,439,548,447,437
"MAP3K7",156,151,179,754,675,1185,1207,870,1337,986
"MAP3K7CL",22,30,16,128,148,387,149,147,159,185
"MAP3K8",17,34,23,150,301,215,333,370,545,555
"MAP3K9",45,50,36,105,174,419,105,261,234,167
"MAP4",455,640,573,3228,3284,6384,6046,5473,5799,3811
"MAP4K1",4,15,9,113,120,148,79,40,247,106
"MAP4K2",80,69,63,140,153,197,157,193,273,324
"MAP4K3",141,180,185,665,731,829,1005,644,831,828
"MAP4K4",251,208,203,1947,2340,4890,5304,3460,5525,4862
"MAP4K5",139,144,172,878,846,1874,1607,1250,1971,1384
"MAP6",15,20,13,145,233,359,158,236,207,181
"MAP6D1",16,47,31,32,33,24,20,13,9,13
"MAP7",286,313,297,538,592,867,294,593,519,511
"MAP7D1",113,100,86,713,883,2130,2070,1390,2517,2443
"MAP7D2",9,5,4,20,36,35,45,69,165,5
"MAP7D3",27,36,34,273,253,454,408,188,556,225
"MAP9",73,86,128,457,575,825,1010,460,631,691
"MAPK1",711,935,728,1976,2392,3272,3023,2045,2817,2892
"MAPK10",44,25,23,262,347,366,180,123,296,126
"MAPK11",24,33,23,111,152,207,162,119,294,223
